Coseno-IA+A,0,10,3.116476891591647,15.785660169112239,201,56
Coseno-IA+A,2,10,3.117604182048295,15.785660169112239,201,53
Coseno-IA+A,4,10,3.116467700620721,15.785660169112239,201,37
Coseno-IA+A,8,10,3.1164786206783437,15.785660169112239,201,53
Coseno-WA,0,10,3.3410445126481916,15.79559986725,201,43
Pearson-IA+A,0,10,3.1459217771007326,15.560774709391797,198,37
Pearson-IA+A,2,10,3.146858184437283,15.560434769901027,198,61
Pearson-IA+A,4,10,3.145854511046341,15.560774709391797,198,56
Pearson-IA+A,8,10,3.1459217771007326,15.560774709391797,198,37
Pearson-WA,0,10,3.2575873307663934,15.57386505519863,198,46
Coseno-IA+A,0,20,3.164510966623957,24.813757899334146,223,61
Coseno-IA+A,2,20,3.167228835249647,24.812738080861827,223,71
Coseno-IA+A,4,20,3.164333876527787,24.813757899334146,223,58
Coseno-IA+A,8,20,3.164503211769677,24.813757899334146,223,57
Coseno-WA,0,20,3.219409058825421,24.829661705529848,223,54
Pearson-IA+A,0,20,3.192657052780322,24.462994196469037,223,56
Pearson-IA+A,2,20,3.1936154097935714,24.459934741052102,223,62
Pearson-IA+A,4,20,3.1932231439980563,24.462994196469037,223,59
Pearson-IA+A,8,20,3.1926645139034573,24.462994196469037,223,60
Pearson-WA,0,20,3.177906885501092,24.48562960153649,223,53
Coseno-IA+A,0,30,3.1907577422291284,31.146351561238095,238,91
Coseno-IA+A,2,30,3.1931411166480417,31.140912529385762,238,77
Coseno-IA+A,4,30,3.191377585123491,31.145671682256555,238,84
Coseno-IA+A,8,30,3.190725558813833,31.146351561238095,238,84
Coseno-WA,0,30,3.1844946114682675,31.168983279546598,238,75
Pearson-IA+A,0,30,3.215648391471319,30.829189166135095,238,81
Pearson-IA+A,2,30,3.2181358292106133,30.825449831736616,238,82
Pearson-IA+A,4,30,3.216565303966699,30.82884922664433,238,82
Pearson-IA+A,8,30,3.2156716547775845,30.829189166135095,238,82
Pearson-WA,0,30,3.131708833079814,30.854651086260116,238,80
